well_name,date,production_volume,latitude,longitude,region
Well-1,2025-04-18,5200,24.4782545,54.379262,Abu Dhabi
Well-2,2025-04-18,4800,24.9782545,54.879262,Dubai
Well-3,2025-04-18,6100,24.1782545,54.179262,Abu Dhabi
Well-4,2025-04-18,7500,24.3782545,54.579262,Abu Dhabi
Well-5,2025-04-18,4200,24.5782545,54.279262,Abu Dhabi
Well-1,2025-04-19,5300,24.4782545,54.379262,Abu Dhabi
Well-2,2025-04-19,4900,24.9782545,54.879262,Dubai
Well-3,2025-04-19,6200,24.1782545,54.179262,Abu Dhabi
Well-4,2025-04-19,7600,24.3782545,54.579262,Abu Dhabi
Well-5,2025-04-19,4300,24.5782545,54.279262,Abu Dhabi
Well-1,2025-04-20,5400,24.4782545,54.379262,Abu Dhabi
Well-2,2025-04-20,5000,24.9782545,54.879262,Dubai
Well-3,2025-04-20,6300,24.1782545,54.179262,Abu Dhabi
Well-4,2025-04-20,7700,24.3782545,54.579262,Abu Dhabi
Well-5,2025-04-20,4400,24.5782545,54.279262,Abu Dhabi
Well-1,2025-04-21,5500,24.4782545,54.379262,Abu Dhabi
Well-2,2025-04-21,5100,24.9782545,54.879262,Dubai
Well-3,2025-04-21,6400,24.1782545,54.179262,Abu Dhabi
Well-4,2025-04-21,7800,24.3782545,54.579262,Abu Dhabi
Well-5,2025-04-21,4500,24.5782545,54.279262,Abu Dhabi
Well-1,2025-04-22,5600,24.4782545,54.379262,Abu Dhabi
Well-2,2025-04-22,5200,24.9782545,54.879262,Dubai
Well-3,2025-04-22,6500,24.1782545,54.179262,Abu Dhabi
Well-4,2025-04-22,7900,24.3782545,54.579262,Abu Dhabi
Well-5,2025-04-22,4600,24.5782545,54.279262,Abu Dhabi
Well-1,2025-04-23,5700,24.4782545,54.379262,Abu Dhabi
Well-2,2025-04-23,5300,24.9782545,54.879262,Dubai
Well-3,2025-04-23,6600,24.1782545,54.179262,Abu Dhabi
Well-4,2025-04-23,8000,24.3782545,54.579262,Abu Dhabi
Well-5,2025-04-23,4700,24.5782545,54.279262,Abu Dhabi
Well-1,2025-04-24,5800,24.4782545,54.379262,Abu Dhabi
Well-2,2025-04-24,5400,24.9782545,54.879262,Dubai
Well-3,2025-04-24,6700,24.1782545,54.179262,Abu Dhabi
Well-4,2025-04-24,8100,24.3782545,54.579262,Abu Dhabi
Well-5,2025-04-24,4800,24.5782545,54.279262,Abu Dhabi
